what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1327109316603
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1327109321116
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.saveAll",1327109356743
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1327109363077
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327109366934
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327109384047
opened,editor,com.google.gwt.eclipse.core,2.5.0.v201112160242-rel-r37,"com.google.gwt.eclipse.core.editors.gwtJavaEditor",1327109384227
activated,editor,com.google.gwt.eclipse.core,2.5.0.v201112160242-rel-r37,"com.google.gwt.eclipse.core.editors.gwtJavaEditor",1327109384322
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1327109386248
activated,editor,com.google.gwt.eclipse.core,2.5.0.v201112160242-rel-r37,"com.google.gwt.eclipse.core.editors.gwtJavaEditor",1327109386576
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1327109392146
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1327109393936
activated,editor,com.google.gwt.eclipse.core,2.5.0.v201112160242-rel-r37,"com.google.gwt.eclipse.core.editors.gwtJavaEditor",1327109395419
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1327109403907
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327109489774
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327109492881
started,bundle,org.eclipse.mylyn.ide.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.ide.ui",1327109504115
started,bundle,org.eclipse.mylyn.java.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.ui",1327109504149
started,bundle,org.eclipse.jpt.jaxb.ui,1.1.1.v201108080010,"org.eclipse.jpt.jaxb.ui",1327109504225
started,bundle,org.eclipse.jst.ws.jaxws.ui,1.0.100.v201104032053,"org.eclipse.jst.ws.jaxws.ui",1327109504267
started,bundle,org.eclipse.pde.api.tools,1.0.301.v20110728_r371,"org.eclipse.pde.api.tools",1327109504364
started,bundle,org.eclipse.pde.api.tools.ui,1.0.301.v20110803_r371,"org.eclipse.pde.api.tools.ui",1327109504366
started,bundle,org.eclipse.jpt.jaxb.core,1.0.1.v201108080010,"org.eclipse.jpt.jaxb.core",1327109504616
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327109554290
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327109563387
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1327109585321
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1327109587596
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327109595257
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327109597906
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327109605291
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327109608472
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327109894693
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327109895923
executed,command,,,"AUTOGEN:::com.google.gwt.eclipse.core.editors.gwtJavaEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1327110599270
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327110608741
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327110608927
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1327110640443
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1327110643079
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1327110644994
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1327110816834
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1327110818698
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327111004074
